Date-Time Wed Apr  4 14:51:44 2018:	Voltage: 99.2	Vac(rms);
Date-Time Wed Apr  4 14:51:47 2018:	Voltage: 98.7	Vac(rms);
Date-Time Wed Apr  4 14:51:50 2018:	Voltage: 99.8	Vac(rms);
Date-Time Wed Apr  4 14:51:53 2018:	Voltage: 98.8	Vac(rms);
Date-Time Wed Apr  4 14:51:56 2018:	Voltage: 99.0	Vac(rms);
Date-Time Wed Apr  4 14:51:59 2018:	Voltage: 98.9	Vac(rms);
Date-Time Wed Apr  4 14:52:02 2018:	Voltage: 98.9	Vac(rms);
Date-Time Wed Apr  4 14:52:05 2018:	Voltage: 98.9	Vac(rms);
Date-Time Wed Apr  4 14:52:08 2018:	Voltage: 98.8	Vac(rms);
Date-Time Wed Apr  4 14:52:11 2018:	Voltage: 98.9	Vac(rms);
Date-Time Wed Apr  4 14:52:14 2018:	Voltage: 99.1	Vac(rms);
Date-Time Wed Apr  4 14:52:17 2018:	Voltage: 99.6	Vac(rms);
Date-Time Wed Apr  4 14:52:20 2018:	Voltage: 99.5	Vac(rms);
Date-Time Wed Apr  4 14:52:23 2018:	Voltage: 99.6	Vac(rms);
Date-Time Wed Apr  4 14:52:26 2018:	Voltage: 99.5	Vac(rms);
Date-Time Wed Apr  4 14:52:29 2018:	Voltage: 99.7	Vac(rms);
Date-Time Wed Apr  4 14:52:32 2018:	Voltage: 99.4	Vac(rms);
Date-Time Wed Apr  4 14:52:35 2018:	Voltage: 99.8	Vac(rms);
Date-Time Wed Apr  4 14:52:38 2018:	Voltage: 106.5	Vac(rms);
Date-Time Wed Apr  4 14:52:41 2018:	Voltage: 118.1	Vac(rms);
Date-Time Wed Apr  4 14:52:44 2018:	Voltage: 118.1	Vac(rms);
Date-Time Wed Apr  4 14:52:47 2018:	Voltage: 119.5	Vac(rms);
Date-Time Wed Apr  4 14:52:50 2018:	Voltage: 118.1	Vac(rms);
Date-Time Wed Apr  4 14:52:53 2018:	Voltage: 119.6	Vac(rms);
Date-Time Wed Apr  4 14:52:56 2018:	Voltage: 118.1	Vac(rms);
Date-Time Wed Apr  4 14:52:59 2018:	Voltage: 119.5	Vac(rms);
Date-Time Wed Apr  4 14:53:02 2018:	Voltage: 118.3	Vac(rms);
Date-Time Wed Apr  4 14:53:05 2018:	Voltage: 119.4	Vac(rms);
Date-Time Wed Apr  4 14:53:08 2018:	Voltage: 118.3	Vac(rms);
Date-Time Wed Apr  4 14:53:11 2018:	Voltage: 119.4	Vac(rms);
Date-Time Wed Apr  4 14:53:14 2018:	Voltage: 118.4	Vac(rms);
Date-Time Wed Apr  4 14:53:17 2018:	Voltage: 120.9	Vac(rms);
Date-Time Wed Apr  4 14:53:20 2018:	Voltage: 132.9	Vac(rms);
Date-Time Wed Apr  4 14:53:23 2018:	Voltage: 138.3	Vac(rms);
Date-Time Wed Apr  4 14:53:26 2018:	Voltage: 138.4	Vac(rms);
Date-Time Wed Apr  4 14:53:29 2018:	Voltage: 139.6	Vac(rms);
Date-Time Wed Apr  4 14:53:32 2018:	Voltage: 138.5	Vac(rms);
Date-Time Wed Apr  4 14:53:35 2018:	Voltage: 139.6	Vac(rms);
Date-Time Wed Apr  4 14:53:38 2018:	Voltage: 138.7	Vac(rms);
Date-Time Wed Apr  4 14:53:41 2018:	Voltage: 139.4	Vac(rms);
Date-Time Wed Apr  4 14:53:44 2018:	Voltage: 138.9	Vac(rms);
Date-Time Wed Apr  4 14:53:47 2018:	Voltage: 140.0	Vac(rms);
Date-Time Wed Apr  4 14:53:50 2018:	Voltage: 149.5	Vac(rms);
Date-Time Wed Apr  4 14:53:53 2018:	Voltage: 156.0	Vac(rms);
Date-Time Wed Apr  4 14:53:56 2018:	Voltage: 159.0	Vac(rms);
Date-Time Wed Apr  4 14:54:00 2018:	Voltage: 158.2	Vac(rms);
Date-Time Wed Apr  4 14:54:03 2018:	Voltage: 159.4	Vac(rms);
Date-Time Wed Apr  4 14:54:06 2018:	Voltage: 157.7	Vac(rms);
Date-Time Wed Apr  4 14:54:09 2018:	Voltage: 159.7	Vac(rms);
Date-Time Wed Apr  4 14:54:12 2018:	Voltage: 157.6	Vac(rms);
Date-Time Wed Apr  4 14:54:15 2018:	Voltage: 159.8	Vac(rms);
Date-Time Wed Apr  4 14:54:18 2018:	Voltage: 158.0	Vac(rms);
Date-Time Wed Apr  4 14:54:21 2018:	Voltage: 159.3	Vac(rms);
Date-Time Wed Apr  4 14:54:24 2018:	Voltage: 158.4	Vac(rms);
Date-Time Wed Apr  4 14:54:27 2018:	Voltage: 159.6	Vac(rms);
Date-Time Wed Apr  4 14:54:30 2018:	Voltage: 174.5	Vac(rms);
Date-Time Wed Apr  4 14:54:33 2018:	Voltage: 176.7	Vac(rms);
Date-Time Wed Apr  4 14:54:36 2018:	Voltage: 180.3	Vac(rms);
Date-Time Wed Apr  4 14:54:39 2018:	Voltage: 177.7	Vac(rms);
Date-Time Wed Apr  4 14:54:42 2018:	Voltage: 179.2	Vac(rms);
Date-Time Wed Apr  4 14:54:45 2018:	Voltage: 178.0	Vac(rms);
Date-Time Wed Apr  4 14:54:48 2018:	Voltage: 178.3	Vac(rms);
